baseline,baseline_family,channel_size,num_enabled,macro_auroc_median,macro_auroc_std,macro_auprc_median,macro_auprc_std,macro_r2_median,macro_r2_std,macro_pearson_median,macro_pearson_std,file
StatsWindowed,statistical,128,1,0.959885,0.000339607,0.727929,0.0011257,0.839977,0.000577756,0.906736,0.000461744,Baseline-StatsWindowed-L128__num_enabled_1.json
StatsWindowed,statistical,128,2,0.814267,0.000544457,0.543632,0.00104531,0.392185,0.00157181,0.59239,0.000927088,Baseline-StatsWindowed-L128__num_enabled_2.json
StatsWindowed,statistical,128,3,0.753241,0.000527353,0.52793,0.000626195,0.299676,0.00116638,0.503556,0.00122423,Baseline-StatsWindowed-L128__num_enabled_3.json
StatsWindowed,statistical,16384,1,0.979528,0.000247021,0.844716,0.00125729,0.594936,0.00839708,0.876656,0.00103035,Baseline-StatsWindowed-L16384__num_enabled_1.json
StatsWindowed,statistical,16384,2,0.84359,0.000376351,0.596812,0.00105229,0.145962,0.00314747,0.494454,0.00154925,Baseline-StatsWindowed-L16384__num_enabled_2.json
StatsWindowed,statistical,16384,3,0.783035,0.000454928,0.572337,0.000701917,0.0810742,0.00307799,0.405209,0.00104356,Baseline-StatsWindowed-L16384__num_enabled_3.json
StatsWindowed,statistical,2048,1,0.980084,0.00024158,0.843476,0.00151269,0.813298,0.000903708,0.892236,0.000719291,Baseline-StatsWindowed-L2048__num_enabled_1.json
StatsWindowed,statistical,2048,2,0.851618,0.000313085,0.607713,0.000768784,0.37791,0.00159884,0.593722,0.00143841,Baseline-StatsWindowed-L2048__num_enabled_2.json
StatsWindowed,statistical,2048,3,0.790392,0.000335646,0.580991,0.000540593,0.298173,0.00110133,0.509082,0.000964497,Baseline-StatsWindowed-L2048__num_enabled_3.json
StatsWindowed,statistical,5000,1,0.979605,0.000224795,0.844764,0.00136471,0.785075,0.00169435,0.885504,0.000747302,Baseline-StatsWindowed-L5000__num_enabled_1.json
StatsWindowed,statistical,5000,2,0.851238,0.000376707,0.609104,0.000606773,0.331059,0.00272505,0.560204,0.00248069,Baseline-StatsWindowed-L5000__num_enabled_2.json
StatsWindowed,statistical,5000,3,0.791487,0.000330781,0.585848,0.000616784,0.248625,0.00260516,0.47781,0.00146075,Baseline-StatsWindowed-L5000__num_enabled_3.json
StatsWindowed,statistical,512,1,0.976206,0.00024027,0.818153,0.00130839,0.828558,0.000749394,0.898535,0.000573279,Baseline-StatsWindowed-L512__num_enabled_1.json
StatsWindowed,statistical,512,2,0.837911,0.000367126,0.570684,0.000753782,0.419782,0.00160372,0.615386,0.00149643,Baseline-StatsWindowed-L512__num_enabled_2.json
StatsWindowed,statistical,512,3,0.774424,0.000259547,0.54629,0.000560598,0.32556,0.00133613,0.528147,0.00148128,Baseline-StatsWindowed-L512__num_enabled_3.json
